,Bound
1231,0
1232,0
1233,1
1234,0
1235,0
1236,0
1237,0
1238,1
1239,0
1240,0
1241,0
1242,0
1243,0
1244,1
1245,0
1246,0
1247,1
1248,1
1249,0
1250,0
1251,1
1252,1
1253,1
1254,1
1255,1
1256,0
1257,1
1258,1
1259,0
1260,0
1261,0
1262,1
1263,0
1264,0
1265,1
1266,0
1267,1
1268,1
1269,1
1270,0
1271,1
1272,1
1273,0
1274,0
1275,0
1276,1
1277,1
1278,0
1279,1
1280,0
1281,0
1282,1
1283,1
1284,1
1285,0
1286,1
1287,1
1288,0
1289,0
1290,1
1291,1
1292,1
1293,0
1294,0
1295,1
1296,0
1297,1
1298,0
1299,0
1300,0
1301,1
1302,0
1303,0
1304,0
1305,0
1306,1
1307,1
1308,0
1309,1
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,1
1318,0
1319,1
1320,1
1321,1
1322,0
1323,1
1324,0
1325,0
1326,1
1327,0
1328,1
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,1
1336,0
1337,1
1338,1
1339,0
1340,1
1341,1
1342,0
1343,0
1344,0
1345,0
1346,1
1347,0
1348,1
1349,1
1350,0
1351,0
1352,1
1353,1
1354,0
1355,1
1356,1
1357,0
1358,0
1359,0
1360,1
1361,1
1362,1
1363,1
1364,1
1365,1
1366,0
1367,1
1368,0
1369,0
1370,0
1371,1
1372,1
1373,0
1374,0
1375,1
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1383,1
1384,1
1385,0
1386,0
1387,0
1388,1
1389,0
1390,0
1391,1
1392,0
1393,1
1394,0
1395,0
1396,0
1397,0
1398,1
1399,1
1400,1
1401,0
1402,0
1403,0
1404,1
1405,0
1406,1
1407,1
1408,0
1409,1
1410,0
1411,0
1412,1
1413,1
1414,0
1415,0
1416,0
1417,1
1418,1
1419,0
1420,0
1421,0
1422,1
1423,0
1424,1
1425,0
1426,1
1427,1
1428,1
1429,1
1430,0
1431,0
1432,0
1433,1
1434,0
1435,0
1436,0
1437,0
1438,0
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,0
1446,0
1447,0
1448,0
1449,0
1450,1
1451,1
1452,0
1453,1
1454,0
1455,1
1456,0
1457,1
1458,0
1459,1
1460,1
1461,0
1462,1
1463,0
1464,0
1465,0
1466,0
1467,1
1468,1
1469,0
1470,1
1471,0
1472,1
1473,1
1474,1
1475,1
1476,1
1477,0
1478,0
1479,0
1480,0
1481,0
1482,0
1483,1
1484,1
1485,0
1486,0
1487,1
1488,1
1489,1
1490,1
1491,1
1492,0
1493,0
1494,0
1495,0
1496,1
1497,0
1498,0
1499,1
1500,0
1501,1
1502,1
1503,1
1504,1
1505,1
1506,1
1507,1
1508,0
1509,1
1510,1
1511,1
1512,1
1513,1
1514,1
1515,0
1516,1
1517,0
1518,1
1519,0
1520,1
1521,0
1522,1
1523,0
1524,0
1525,1
1526,0
1527,1
1528,1
1529,1
1530,1
1531,0
1532,0
1533,0
1534,1
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,1
1542,0
1543,0
1544,0
1545,1
1546,1
1547,0
1548,0
1549,0
1550,1
1551,1
1552,0
1553,1
1554,0
1555,1
1556,0
1557,1
1558,0
1559,0
1560,0
1561,1
1562,0
1563,0
1564,1
1565,1
1566,1
1567,1
1568,0
1569,1
1570,1
1571,0
1572,1
1573,1
1574,0
1575,1
1576,1
1577,1
1578,1
1579,0
1580,1
1581,0
1582,0
1583,1
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,1
1591,1
1592,1
1593,1
1594,1
1595,0
1596,0
1597,1
1598,0
1599,1
1600,1
1601,1
1602,0
1603,1
1604,1
1605,1
1606,1
1607,0
1608,0
1609,0
1610,1
1611,1
1612,0
1613,1
1614,0
1615,1
1616,1
1617,0
1618,0
1619,0
1620,1
1621,0
1622,0
1623,1
1624,1
1625,0
1626,0
1627,0
1628,1
1629,1
1630,0
1631,0
1632,0
1633,0
1634,1
1635,0
1636,1
1637,1
1638,0
1639,0
1640,0
1641,1
1642,0
1643,1
1644,0
1645,1
1646,0
1647,1
1648,0
1649,1
1650,1
1651,1
1652,0
1653,1
1654,1
1655,1
1656,1
1657,0
1658,1
1659,0
1660,1
1661,1
1662,1
1663,1
1664,1
1665,1
1666,1
1667,0
1668,1
1669,1
1670,1
1671,1
1672,0
1673,0
1674,0
1675,0
1676,1
1677,1
1678,0
1679,1
1680,0
1681,1
1682,1
1683,1
1684,1
1685,0
1686,1
1687,0
1688,1
1689,0
1690,0
1691,0
1692,1
1693,0
1694,0
1695,0
1696,1
1697,0
1698,1
1699,0
1700,0
1701,1
1702,1
1703,0
1704,1
1705,0
1706,0
1707,1
1708,0
1709,1
1710,1
1711,0
1712,0
1713,0
1714,1
1715,1
1716,1
1717,1
1718,0
1719,1
1720,1
1721,1
1722,0
1723,1
1724,0
1725,1
1726,1
1727,0
1728,1
1729,0
1730,1
1731,0
1732,0
1733,1
1734,0
1735,1
1736,0
1737,0
1738,1
1739,1
1740,0
1741,0
1742,1
1743,1
1744,1
1745,0
1746,1
1747,1
1748,0
1749,1
1750,1
1751,0
1752,1
1753,0
1754,1
1755,0
1756,0
1757,1
1758,0
1759,0
1760,1
1761,0
1762,1
1763,1
1764,0
1765,0
1766,0
1767,0
1768,0
1769,0
1770,0
1771,1
1772,0
1773,1
1774,1
1775,1
1776,1
1777,0
1778,0
1779,0
1780,1
1781,1
1782,1
1783,1
1784,0
1785,0
1786,1
1787,0
1788,1
1789,1
1790,1
1791,1
1792,1
1793,0
1794,0
1795,1
1796,1
1797,1
1798,1
1799,0
1800,1
1801,0
1802,1
1803,0
1804,1
1805,0
1806,1
1807,0
1808,1
1809,1
1810,1
1811,0
1812,1
1813,1
1814,0
1815,0
1816,1
1817,0
1818,1
1819,1
1820,1
1821,1
1822,0
1823,0
1824,0
1825,0
1826,1
1827,1
1828,0
1829,0
1830,1
1831,0
1832,1
1833,1
1834,0
1835,1
1836,0
1837,0
1838,1
1839,0
1840,1
1841,1
1842,1
1843,1
1844,1
1845,1
1846,1
1847,0
1848,0
1849,1
1850,0
1851,0
1852,0
1853,1
1854,0
1855,1
1856,0
1857,1
1858,0
1859,1
1860,0
1861,0
1862,1
1863,1
1864,0
1865,1
1866,0
1867,0
1868,1
1869,1
1870,1
1871,1
1872,0
1873,1
1874,1
1875,0
1876,1
1877,0
1878,0
1879,1
1880,1
1881,0
1882,1
1883,1
1884,0
1885,1
1886,0
1887,0
1888,1
1889,1
1890,0
1891,1
1892,0
1893,1
1894,1
1895,1
1896,0
1897,1
1898,0
1899,0
1900,0
1901,0
1902,1
1903,0
1904,1
1905,1
1906,1
1907,1
1908,0
1909,1
1910,1
1911,0
1912,1
1913,1
1914,0
1915,0
1916,1
1917,0
1918,1
1919,0
1920,1
1921,1
1922,0
1923,0
1924,0
1925,1
1926,1
1927,1
1928,1
1929,0
1930,0
1931,0
1932,1
1933,1
1934,0
1935,0
1936,1
1937,0
1938,1
1939,1
1940,0
1941,0
1942,0
1943,1
1944,1
1945,0
1946,0
1947,1
1948,0
1949,1
1950,0
1951,1
1952,1
1953,1
1954,0
1955,1
1956,0
1957,0
1958,1
1959,0
1960,0
1961,0
1962,1
1963,0
1964,0
1965,0
1966,0
1967,1
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,1
1977,1
1978,0
1979,0
1980,1
1981,0
1982,1
1983,1
1984,1
1985,1
1986,0
1987,1
1988,0
1989,0
1990,0
1991,1
1992,1
1993,1
1994,0
1995,0
1996,0
1997,1
1998,0
1999,0
