,Bound
2239,1
2240,0
2241,0
2242,0
2243,0
2244,1
2245,0
2246,0
2247,1
2248,0
2249,0
2250,1
2251,1
2252,1
2253,1
2254,1
2255,0
2256,1
2257,0
2258,0
2259,1
2260,0
2261,0
2262,1
2263,1
2264,1
2265,1
2266,1
2267,0
2268,0
2269,0
2270,0
2271,0
2272,0
2273,1
2274,0
2275,0
2276,0
2277,0
2278,0
2279,1
2280,1
2281,1
2282,0
2283,1
2284,1
2285,0
2286,1
2287,1
2288,1
2289,0
2290,0
2291,1
2292,1
2293,1
2294,0
2295,0
2296,0
2297,0
2298,1
2299,1
2300,1
2301,0
2302,1
2303,0
2304,1
2305,0
2306,0
2307,0
2308,1
2309,1
2310,0
2311,0
2312,0
2313,1
2314,1
2315,0
2316,0
2317,0
2318,1
2319,0
2320,1
2321,0
2322,0
2323,0
2324,1
2325,0
2326,0
2327,1
2328,1
2329,1
2330,1
2331,1
2332,1
2333,1
2334,0
2335,0
2336,0
2337,1
2338,0
2339,1
2340,1
2341,1
2342,1
2343,0
2344,1
2345,0
2346,1
2347,1
2348,0
2349,0
2350,0
2351,1
2352,0
2353,0
2354,0
2355,0
2356,0
2357,1
2358,1
2359,0
2360,1
2361,1
2362,0
2363,0
2364,1
2365,1
2366,0
2367,1
2368,0
2369,1
2370,0
2371,0
2372,0
2373,0
2374,0
2375,1
2376,1
2377,0
2378,1
2379,1
2380,0
2381,1
2382,0
2383,0
2384,0
2385,0
2386,1
2387,1
2388,1
2389,1
2390,1
2391,0
2392,0
2393,1
2394,1
2395,0
2396,0
2397,1
2398,1
2399,0
2400,1
2401,0
2402,1
2403,0
2404,1
2405,1
2406,0
2407,1
2408,1
2409,1
2410,1
2411,0
2412,1
2413,0
2414,1
2415,1
2416,0
2417,0
2418,1
2419,0
2420,0
2421,1
2422,1
2423,1
2424,1
2425,0
2426,1
2427,1
2428,1
2429,1
2430,0
2431,0
2432,1
2433,1
2434,1
2435,0
2436,0
2437,0
2438,1
2439,0
2440,1
2441,0
2442,1
2443,1
2444,0
2445,0
2446,1
2447,0
2448,1
2449,0
2450,1
2451,1
2452,0
2453,0
2454,1
2455,1
2456,1
2457,1
2458,0
2459,1
2460,1
2461,1
2462,1
2463,1
2464,0
2465,1
2466,1
2467,0
2468,1
2469,1
2470,1
2471,0
2472,0
2473,1
2474,0
2475,0
2476,1
2477,0
2478,1
2479,1
2480,0
2481,0
2482,0
2483,1
2484,0
2485,1
2486,0
2487,1
2488,1
2489,0
2490,0
2491,0
2492,0
2493,1
2494,0
2495,1
2496,0
2497,1
2498,1
2499,1
2500,1
2501,1
2502,1
2503,0
2504,1
2505,0
2506,0
2507,1
2508,1
2509,1
2510,0
2511,1
2512,1
2513,0
2514,1
2515,1
2516,0
2517,1
2518,1
2519,1
2520,0
2521,1
2522,1
2523,0
2524,0
2525,0
2526,0
2527,1
2528,1
2529,0
2530,0
2531,1
2532,1
2533,1
2534,1
2535,1
2536,1
2537,1
2538,0
2539,1
2540,1
2541,1
2542,0
2543,0
2544,0
2545,0
2546,0
2547,0
2548,0
2549,1
2550,0
2551,0
2552,0
2553,0
2554,0
2555,0
2556,0
2557,0
2558,0
2559,1
2560,1
2561,0
2562,0
2563,1
2564,0
2565,0
2566,0
2567,1
2568,1
2569,0
2570,1
2571,0
2572,0
2573,0
2574,0
2575,1
2576,1
2577,1
2578,0
2579,0
2580,0
2581,1
2582,0
2583,1
2584,0
2585,0
2586,0
2587,0
2588,1
2589,1
2590,1
2591,0
2592,1
2593,0
2594,1
2595,0
2596,0
2597,1
2598,1
2599,0
2600,0
2601,0
2602,1
2603,1
2604,0
2605,1
2606,1
2607,0
2608,1
2609,1
2610,0
2611,0
2612,0
2613,0
2614,1
2615,0
2616,1
2617,0
2618,0
2619,1
2620,0
2621,0
2622,1
2623,0
2624,1
2625,1
2626,0
2627,0
2628,1
2629,1
2630,1
2631,1
2632,0
2633,1
2634,1
2635,1
2636,1
2637,0
2638,1
2639,1
2640,0
2641,0
2642,1
2643,1
2644,1
2645,0
2646,1
2647,1
2648,1
2649,0
2650,1
2651,0
2652,0
2653,0
2654,0
2655,0
2656,1
2657,1
2658,1
2659,0
2660,1
2661,0
2662,1
2663,0
2664,1
2665,1
2666,1
2667,1
2668,0
2669,1
2670,0
2671,0
2672,0
2673,1
2674,0
2675,0
2676,0
2677,1
2678,0
2679,1
2680,1
2681,1
2682,0
2683,1
2684,1
2685,0
2686,1
2687,1
2688,0
2689,1
2690,1
2691,0
2692,0
2693,1
2694,1
2695,0
2696,0
2697,1
2698,1
2699,1
2700,0
2701,0
2702,1
2703,1
2704,1
2705,0
2706,1
2707,1
2708,1
2709,0
2710,0
2711,0
2712,1
2713,1
2714,0
2715,0
2716,0
2717,0
2718,0
2719,1
2720,1
2721,0
2722,0
2723,1
2724,1
2725,0
2726,0
2727,1
2728,0
2729,0
2730,0
2731,1
2732,0
2733,1
2734,0
2735,0
2736,0
2737,1
2738,1
2739,0
2740,1
2741,1
2742,0
2743,0
2744,1
2745,0
2746,1
2747,1
2748,1
2749,1
2750,1
2751,1
2752,1
2753,1
2754,1
2755,0
2756,1
2757,0
2758,0
2759,1
2760,0
2761,0
2762,1
2763,1
2764,1
2765,1
2766,0
2767,1
2768,1
2769,1
2770,0
2771,1
2772,1
2773,0
2774,0
2775,1
2776,1
2777,0
2778,1
2779,0
2780,0
2781,1
2782,0
2783,0
2784,0
2785,1
2786,1
2787,1
2788,0
2789,1
2790,1
2791,0
2792,1
2793,0
2794,0
2795,0
2796,1
2797,1
2798,1
2799,0
2800,1
2801,0
2802,0
2803,0
2804,1
2805,0
2806,0
2807,1
2808,0
2809,0
2810,0
2811,0
2812,1
2813,1
2814,0
2815,0
2816,0
2817,1
2818,1
2819,0
2820,1
2821,1
2822,0
2823,1
2824,0
2825,0
2826,1
2827,1
2828,1
2829,0
2830,0
2831,1
2832,1
2833,0
2834,1
2835,0
2836,1
2837,1
2838,1
2839,1
2840,0
2841,1
2842,0
2843,0
2844,1
2845,0
2846,1
2847,0
2848,0
2849,0
2850,0
2851,0
2852,1
2853,1
2854,0
2855,1
2856,0
2857,1
2858,1
2859,0
2860,1
2861,1
2862,0
2863,1
2864,0
2865,1
2866,0
2867,1
2868,1
2869,0
2870,0
2871,0
2872,0
2873,0
2874,1
2875,0
2876,0
2877,1
2878,0
2879,0
2880,1
2881,1
2882,0
2883,1
2884,1
2885,0
2886,1
2887,0
2888,1
2889,0
2890,0
2891,1
2892,1
2893,0
2894,1
2895,1
2896,0
2897,0
2898,1
2899,0
2900,1
2901,0
2902,0
2903,1
2904,0
2905,1
2906,1
2907,0
2908,0
2909,0
2910,0
2911,1
2912,1
2913,0
2914,1
2915,0
2916,0
2917,1
2918,0
2919,1
2920,1
2921,0
2922,0
2923,0
2924,1
2925,1
2926,1
2927,0
2928,0
2929,0
2930,0
2931,0
2932,1
2933,1
2934,1
2935,0
2936,0
2937,0
2938,0
2939,0
2940,0
2941,0
2942,0
2943,1
2944,0
2945,0
2946,0
2947,0
2948,1
2949,1
2950,0
2951,1
2952,1
2953,0
2954,1
2955,1
2956,0
2957,0
2958,0
2959,0
2960,1
2961,1
2962,0
2963,1
2964,0
2965,1
2966,1
2967,1
2968,1
2969,1
2970,0
2971,0
2972,0
2973,1
2974,0
2975,0
2976,0
2977,0
2978,1
2979,1
2980,0
2981,1
2982,1
2983,1
2984,1
2985,0
2986,1
2987,1
2988,0
2989,1
2990,1
2991,1
2992,0
2993,0
2994,1
2995,0
2996,0
2997,1
2998,0
2999,0
